state,code,population,GDP (billion USD),order joined
Alabama,AL,4849377,213,22
Alaska,AK,736732,50,49
Arizona,AZ,6731484,356,48
Arkansas,AR,2966369,127,25
California,CA,38802500,3600,31
Colorado,CO,5355866,386,38
Connecticut,CT,3596677,253,5
Delaware,DE,935614,66,1
District of Columbia,DC,658893,129,0
Florida,FL,19893297,1100,27
Georgia,GA,10097343,591,4
Hawaii,HI,1419561,75,50
Idaho,ID,1634464,84,43
Illinois,IL,12880580,798,21
Indiana,IN,6596855,353,19
Iowa,IA,3107126,177,29
Kansas,KS,2904021,165,34
Kentucky,KY,4413457,201,15
Louisiana,LA,4649676,217,18
Maine,ME,1330089,65,23
Maryland,MD,5976407,369,7
Massachusetts,MA,6745408,544,6
Michigan,MI,9909877,490,26
Minnesota,MN,5457173,350,32
Mississippi,MS,2994079,105,20
Missouri,MO,6063589,301,24
Montana,MT,1023579,50,41
Nebraska,NE,1881503,124,37
Nevada,NV,2839099,165,36
New Hampshire,NH,1326813,83,9
New Jersey,NJ,8938175,582,3
New Mexico,NM,2085572,95,47
New York,NY,19746227,2053,11
North Carolina,NC,9943964,560,12
North Dakota,ND,739482,53,39
Ohio,OH,11594163,639,17
Oklahoma,OK,3878051,191,46
Oregon,OR,3970239,235,33
Pennsylvania,PA,12787209,726,2
Rhode Island,RI,1055173,55,13
South Carolina,SC,4832482,226,8
South Dakota,SD,853175,50,40
Tennessee,TN,6549352,368,16
Texas,TX,26956958,2356,28
Utah,UT,2942902,192,45
Vermont,VT,626562,31,14
Virginia,VA,8326289,513,10
Washington,WA,7061530,582,42
West Virginia,WV,1850326,72,35
Wisconsin,WI,5757564,312,30
Wyoming,WY,584153,36,44
